sentence,topic,speaker,is_host,source_title,date,quote_type,public_use_suitable
"Every minute that they're not running their production line, they're losing money because they have to pay the peopl","Co-manufacturer and distributor contracts, liability, and operational risk",Jamie Valenti Jordan,False,"#133 How to Make and Scale Your Product with Jamie Valenti-Jordan, Catapult Commercialization Services Part 1",2024-03-19T07:00:00.000Z,pain_language,requires_verification
"Day, it is hard to be small in the mass market area of food and beverage","Wholesale expansion, buyer relationships, and in-store growth",Jamie Valenti Jordan,False,"#133 How to Make and Scale Your Product with Jamie Valenti-Jordan, Catapult Commercialization Services Part 1",2024-03-19T07:00:00.000Z,pain_language,requires_verification
"I don't know about other cpgs in health and beauty and things like that, but in food and beverage, it's very hard to be small","Wholesale expansion, buyer relationships, and in-store growth",Jamie Valenti Jordan,False,"#133 How to Make and Scale Your Product with Jamie Valenti-Jordan, Catapult Commercialization Services Part 1",2024-03-19T07:00:00.000Z,pain_language,requires_verification
"It's hard to call stores, it's hard to get response","Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,"#129 Buyer Spotlight: Jonathan Lawrence, Fresh Thyme Market",2024-02-20T08:00:00.000Z,pain_language,requires_verification
"And I hope my mom isn't listening to this, but probably picking up some very inexpensive beer also with my fake id","Wholesale expansion, buyer relationships, and in-store growth",Daniel Scharff,False,"#129 Buyer Spotlight: Jonathan Lawrence, Fresh Thyme Market",2024-02-20T08:00:00.000Z,pain_language,requires_verification
And so it makes it a little bit more difficult,"Retail buyer readiness, category fit, and expectations",Jonathan Lawrence,False,"#129 Buyer Spotlight: Jonathan Lawrence, Fresh Thyme Market",2024-02-20T08:00:00.000Z,pain_language,requires_verification
"The category manager has to challenge himself as well, the brand, because they're going to say, well, where should I put this",Retailer and distributor onboarding and category management,Jonathan Lawrence,False,"#129 Buyer Spotlight: Jonathan Lawrence, Fresh Thyme Market",2024-02-20T08:00:00.000Z,pain_language,requires_verification
Saying yes to everything doesn't mean you're losing your value connection if you say no,"Retail buyer readiness, category fit, and expectations",Rebecca Styn,False,#232 - 2026 Brand Resolutions,2026-01-20T08:00:00.000Z,pain_language,requires_verification
"And I think also, like, there's gonna be a lot of consultants, quote unquote, out there who try to sell you a bill of goods and say, oh, I'm going to fix all your problems and it's going to be all like, do not, do not go near them","Co-manufacturer and distributor contracts, liability, and operational risk",Ariel,False,Founder Feature: Ariel Altman and Ronny Berger of Figa Foods,2025-08-01T07:00:00.000Z,pain_language,requires_verification
I think we had a lot of hard lessons on our side trying to figure out really hard problems that no one's figured out before because we'r,"Co-manufacturer and distributor contracts, liability, and operational risk",Ariel,False,Founder Feature: Ariel Altman and Ronny Berger of Figa Foods,2025-08-01T07:00:00.000Z,pain_language,requires_verification
"Yeah, that's the challenge, is they we","Co-manufacturer selection, scale-up, process control, and IP",Jeff Church,False,"#123 Jeff Church's Lessons on Entrepreneurship, from Suja Juice $140 Million/year Success to Shutting down Rowdy Energy",2024-01-09T08:00:00.000Z,pain_language,requires_verification
That's a difficult price point to be successful at,"Retail buyer readiness, category fit, and expectations",Jeff Church,False,"#123 Jeff Church's Lessons on Entrepreneurship, from Suja Juice $140 Million/year Success to Shutting down Rowdy Energy",2024-01-09T08:00:00.000Z,pain_language,requires_verification
"Sometimes it is the packaging, which is hard because it is an expensive endeavor usually","Retail buyer readiness, category fit, and expectations",Janice Greenwald,False,#199 - How to Drive Velocity with Marketing with Janice Greenwald,2025-06-03T07:00:00.000Z,pain_language,requires_verification
They had no problem getting into retail,"Retail buyer readiness, category fit, and expectations",Janice Greenwald,False,#199 - How to Drive Velocity with Marketing with Janice Greenwald,2025-06-03T07:00:00.000Z,pain_language,requires_verification
What they had problem with was getting it off the shelf,"Retail buyer readiness, category fit, and expectations",Janice Greenwald,False,#199 - How to Drive Velocity with Marketing with Janice Greenwald,2025-06-03T07:00:00.000Z,pain_language,requires_verification
Solving a problem that's out there,"Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,#199 - How to Drive Velocity with Marketing with Janice Greenwald,2025-06-03T07:00:00.000Z,pain_language,requires_verification
"They did have one of these problems, you diagnosed it, something changed, and then that fixed their velocity issue","Retail buyer readiness, category fit, and expectations",Janice Greenwald,False,#199 - How to Drive Velocity with Marketing with Janice Greenwald,2025-06-03T07:00:00.000Z,pain_language,requires_verification
"And I mean, I, I mean the velocity will ultimately show you everything, but it's hard to get that big of a sample when you're a small brand and you don't know exactly what's doing what","Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,#199 - How to Drive Velocity with Marketing with Janice Greenwald,2025-06-03T07:00:00.000Z,pain_language,requires_verification
"And if it's not, there's a real problem and we need to address that problem first before we just put these kind of band aids on of shopper marketing, which is going to drive trial, but it's going to be endless paying for acquiring new consumers","Wholesale expansion, buyer relationships, and in-store growth",Janice Greenwald,False,#199 - How to Drive Velocity with Marketing with Janice Greenwald,2025-06-03T07:00:00.000Z,pain_language,requires_verification
"So we're definitely trying to challenge ourselves as well and, you know, bringing on more people as brand ambassadors and just getting the word out","Retail buyer readiness, category fit, and expectations",Brenna Turner,False,Founder Feature: Brenna Turner and Joey Labes of Sake High!,2025-05-30T07:00:00.000Z,pain_language,requires_verification
"Honestly, that can be one of the most overwhelming pieces, is how do you distill your message","Retail buyer readiness, category fit, and expectations",Susan Hartman 1,False,Founder Feature: Susan Hartman of Recoup Beverages,2025-03-14T07:00:00.000Z,pain_language,requires_verification
"It really does, is we've worked super hard to bring this brand to life","Retail buyer readiness, category fit, and expectations",BJ Howard,False,Founder Feature: BJ Howard of Wild West Chocolate,2025-09-19T07:00:00.000Z,pain_language,requires_verification
"So me personally, and again, we started this talking about what got me interested in CPG and food industry specifically, and that is that there actually are a lot of problems with our food system where companies are overreaching and positioning themselves in a way as being beneficial to the environm","Retail buyer readiness, category fit, and expectations",Lauren Handel,False,#125 The Most Common Lawsuits Hitting Brands Right Now with Handel Food Law,2024-01-23T08:00:00.000Z,pain_language,requires_verification
"It's only been a month since the trade show, but I'm really positive, but with super overwhelming with th","Wholesale expansion, buyer relationships, and in-store growth",Aman Blana,False,"Founder Feature: Aman Blana, Growee Foods",2024-05-03T07:00:00.000Z,pain_language,requires_verification
But I had no problem selling a convent,Regional retail expansion and local-to-national growth,Paul Voge,False,Bonus: Getting Into Retail & Tips from a Buyer,2023-12-30T08:08:00.000Z,pain_language,requires_verification
"You were doing it, you had a broker","Wholesale expansion, buyer relationships, and in-store growth",Paul Voge,False,Bonus: Getting Into Retail & Tips from a Buyer,2023-12-30T08:08:00.000Z,pain_language,requires_verification
"And then as you get into regional chains like EarthFair, it's probably time to find an early stage broker that knows those specific regional chains of a specific channel","Wholesale expansion, buyer relationships, and in-store growth",Paul Voge,False,Bonus: Getting Into Retail & Tips from a Buyer,2023-12-30T08:08:00.000Z,pain_language,requires_verification
"And then as you become a national sales company, you could find a broker for natural, a broker for convenience, a broker for conventional, et cetera","Wholesale expansion, buyer relationships, and in-store growth",Paul Voge,False,Bonus: Getting Into Retail & Tips from a Buyer,2023-12-30T08:08:00.000Z,pain_language,requires_verification
"Like, that wasn't Necessarily a financial mistake as much as it was just like a","Wholesale expansion, buyer relationships, and in-store growth",Sam Tichnor,False,#207 - FFUPs' Shutdown: Post-Mortem & Lessons for Brands,2025-07-29T07:00:00.000Z,pain_language,requires_verification
"We were always thinking about we had working capital problems and you know, we wanted to make sure that, you know, we can move the brand in the direction that it needed to","Wholesale expansion, buyer relationships, and in-store growth",Sam Tichnor,False,#207 - FFUPs' Shutdown: Post-Mortem & Lessons for Brands,2025-07-29T07:00:00.000Z,pain_language,requires_verification
"But like, wow, it's expensive to get consumers to discover new kinds of products and new brands","Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,#207 - FFUPs' Shutdown: Post-Mortem & Lessons for Brands,2025-07-29T07:00:00.000Z,pain_language,requires_verification
"It's very difficult to get a pot on the stove to scale up to 100 gallons, but it's much easier to go from 100 gallons to a thousand gallons once you've validated that process","Co-manufacturer selection, scale-up, process control, and IP",Travis Zissu,False,R&D Radio: Travis Zissu from Scale Food Lab,2026-04-13T07:00:00.000Z,pain_language,requires_verification
"And I mean I definitely worked with brokers where you really just had to rely on their account manager in the region who is like, no",Regional retail expansion and local-to-national growth,Daniel Scharff,False,#215 - Ask-Me-Anything with Sales Pro Matt Merson,2025-09-23T07:00:00.000Z,pain_language,requires_verification
"And also, I mean, this thing is hard to do in general","Retail buyer readiness, category fit, and expectations",Daniel Scharff,False,#215 - Ask-Me-Anything with Sales Pro Matt Merson,2025-09-23T07:00:00.000Z,pain_language,requires_verification
It's not first and second floor of North hall that we know are just overwhelmingly busy at the beginning,"Wholesale expansion, buyer relationships, and in-store growth",Daniel Scharff,False,"Expo West 2024 Recap: Trends, Brands, and Swag",2024-03-26T05:34:22.000Z,pain_language,requires_verification
But we're really good problem solvers,"Retail buyer readiness, category fit, and expectations",Erik Muller,False,#200 - Buyer Spotlight: The FruitGuys with Erik Muller and Daria Jackson,2025-06-10T07:00:00.000Z,pain_language,requires_verification
"It's such an important channel, but it's so hard to do alone",Retailer and distributor onboarding and category management,Daniel Scharff,False,#200 - Buyer Spotlight: The FruitGuys with Erik Muller and Daria Jackson,2025-06-10T07:00:00.000Z,pain_language,requires_verification
"If it's kind of a standardized product, they're probably going to run other sodas there and it's typically not a problem if you have the right agreements in place and you want to make sure that they aren't showing your ingredients to their other customers","Co-manufacturer selection, scale-up, process control, and IP",Lance Schwarzkopf,False,#177 -  Finding Your Co-Man: Lance Schwarzkopf of Copack,2025-01-07T08:00:00.000Z,pain_language,requires_verification
"I mean, there may be some small problems that pop up and you're going to have to deal with those","Co-manufacturer and distributor contracts, liability, and operational risk",Lance Schwarzkopf,False,#177 -  Finding Your Co-Man: Lance Schwarzkopf of Copack,2025-01-07T08:00:00.000Z,pain_language,requires_verification
"Yeah, but I think that trying to get all your ducks in a row, you mentioned ingredients because if, for example, you, they make a mistake or you make mistake and ingredient doesn't get ordered, now you're going to have to get back in their queue","Co-manufacturer selection, scale-up, process control, and IP",Lance Schwarzkopf,False,#177 -  Finding Your Co-Man: Lance Schwarzkopf of Copack,2025-01-07T08:00:00.000Z,pain_language,requires_verification
"But if you can try to anticipate any challenges you might have, you're going to be much better off","Co-manufacturer selection, scale-up, process control, and IP",Lance Schwarzkopf,False,#177 -  Finding Your Co-Man: Lance Schwarzkopf of Copack,2025-01-07T08:00:00.000Z,pain_language,requires_verification
"So my Brock, my boxes are getting broken down immediately and then I'm","Co-manufacturer selection, scale-up, process control, and IP",Caitlin Bricker,False,#198 -  Startup CPG Community Updates,2025-05-27T07:00:00.000Z,pain_language,requires_verification
"It is so hard to pick one memory, but I think the one that stands out in my mind is Expo west for sure, because that was the first time that I was able to meet our entire team in person after having joined the team, and everyone clicked right away","Retail buyer readiness, category fit, and expectations",Caitlin Bricker,False,#198 -  Startup CPG Community Updates,2025-05-27T07:00:00.000Z,pain_language,requires_verification
"I was just wondering to myself, like, if I, as a brand founder, just have general nightmares about ops that wake me up in t","Co-manufacturer and distributor contracts, liability, and operational risk",Jamie Valenti-Jordan,False,"#139  Inventory Management for Early Brands: Cory Hebert from Cin7, and Jamie Valenti-Jordan, Catapult Commercialization Services",2024-04-23T07:00:00.000Z,pain_language,requires_verification
"You know, serendipity is always good to have, but to me that has been biggest challenge","Retail buyer readiness, category fit, and expectations",Sashi Kumar,False,"Founder Feature: Sashi Kumar, Brittney Lim, and Jim Giberson of Tamarind Heads",2024-09-20T07:00:00.000Z,pain_language,requires_verification
"It wasn't the nitty gritty of the day to day struggle, you know, dealing with daily problems of owning a CPG business","Co-manufacturer selection, scale-up, process control, and IP",Grace Kennedy,False,Founder Feature: Dina DiCenso of RIND,2025-06-06T07:00:00.000Z,pain_language,requires_verification
"So, you know, and even though these people are paying brokers a ton of money to get on shelves, sometimes, you know, they don't have the staying power",Regional retail expansion and local-to-national growth,Dina DiCenso,False,Founder Feature: Dina DiCenso of RIND,2025-06-06T07:00:00.000Z,pain_language,requires_verification
"You know those other types of businesses, the ones that start out focused on marketing and brand, and then they go through that same difficult process that you went through, Adam, but their process is a little bit different because they get to the point where they're selling so much that there's all","Wholesale expansion, buyer relationships, and in-store growth",Josh Fischer,False,#230 - From Self-Distribution to Full-Service Distributor: Scaling Ops with Smidge Beverage and Cin7,2026-01-06T08:00:00.000Z,pain_language,requires_verification
And now they have other problems,"Wholesale expansion, buyer relationships, and in-store growth",Josh Fischer,False,#230 - From Self-Distribution to Full-Service Distributor: Scaling Ops with Smidge Beverage and Cin7,2026-01-06T08:00:00.000Z,pain_language,requires_verification
"One of the challenges that we face is that a lot of these merchants, they spin up Shopify sites, and you can learn how to spin up a Shopify site anywhere","Wholesale expansion, buyer relationships, and in-store growth",Josh Fischer,False,#230 - From Self-Distribution to Full-Service Distributor: Scaling Ops with Smidge Beverage and Cin7,2026-01-06T08:00:00.000Z,pain_language,requires_verification
And it's probably why sometimes you were frustrating to deal with,"Retail buyer readiness, category fit, and expectations",Tim Dornfeld,False,"#189 -  Distributor Spotlight: Tim Dornfeld, KeHE",2025-04-01T07:00:00.000Z,pain_language,requires_verification
"If you're a brand that we don't feel you're quite ready yet, it's not done out of malice or it's literally done because we hate seeing brands fail","Retail buyer readiness, category fit, and expectations",Tim Dornfeld,False,"#189 -  Distributor Spotlight: Tim Dornfeld, KeHE",2025-04-01T07:00:00.000Z,pain_language,requires_verification
"Whatever that brand has, maybe a small broker they're working up there like some regional salespeople",Retailer and distributor onboarding and category management,Tim Dornfeld,False,"#189 -  Distributor Spotlight: Tim Dornfeld, KeHE",2025-04-01T07:00:00.000Z,pain_language,requires_verification
"So, you know, if you find the right broker that I would always say if you're talking about brokers, talk to a lot of them, right",Retailer and distributor onboarding and category management,Tim Dornfeld,False,"#189 -  Distributor Spotlight: Tim Dornfeld, KeHE",2025-04-01T07:00:00.000Z,pain_language,requires_verification
"You know, all of that thing, again, you don't have to work with broker, but they certainly do help to help navigate a lot of what's going on here",Retailer and distributor onboarding and category management,Tim Dornfeld,False,"#189 -  Distributor Spotlight: Tim Dornfeld, KeHE",2025-04-01T07:00:00.000Z,pain_language,requires_verification
So you have to continuously challenge yourself to think differently,Retailer and distributor onboarding and category management,Kenny Hausmann,False,"#144 - Buyer Spotlight: Kenny Hausmann, Fresh Thyme",2024-05-28T07:00:00.000Z,pain_language,requires_verification
We overcome go to market challenges by expanding our partners in house capabilities,"Co-manufacturer selection, scale-up, process control, and IP",Ian,False,"Mini Episode: Flavors, Formulators & Fast Turnarounds with Ian Haworth, FlavorSum",2026-03-11T07:00:00.000Z,pain_language,requires_verification
I think that she just comes from a more traditional background and not being as familiar with entrepreneurship and the risk associated with that and the difficulties and challenges being a challenger brand against really large players in the space,"Retail buyer readiness, category fit, and expectations",Caitlin Bricker,False,Founder Feature: The First Better-For-You Nutrition Company for Older Adults with Jess Haghani of Lucille,2026-06-19T07:39:47.000Z,pain_language,requires_verification
There's a story and a picture painted way behind that matters even more,"Wholesale expansion, buyer relationships, and in-store growth",Hannah Dittman,False,"Investor Spotlight: Graham Garzon, Ground Force Capital — Growth Stage Investing, Business Fundamentals, and What It Takes to Build an Acquirable Brand",2026-05-30T07:00:00.000Z,pain_language,requires_verification
"For me, it would stand out on a shelf, no problem","Retail buyer readiness, category fit, and expectations",Caitlin Bricker,False,Founder Feature: Amna Mettmann of Brause,2025-07-18T07:00:00.000Z,pain_language,requires_verification
"Like, kind of look at everything from a very unique perspective of, like, even though there are other frozen brands that have done this before, rather than just copying what they do, how can we look at this problem from a different perspective","Wholesale expansion, buyer relationships, and in-store growth",Lisa Mastela,False,"#186 - Bootstrap Heroes: Bumpin Blends, Lentiful and Drink Wholesome",2025-03-11T09:33:22.000Z,pain_language,requires_verification
"Okay, so you were taking this on your own to fix the stomach problems you were having from other stuff that was out there, and then you just started to go for it, like, where did you have savings","Co-manufacturer selection, scale-up, process control, and IP",Daniel Scharff,False,"#186 - Bootstrap Heroes: Bumpin Blends, Lentiful and Drink Wholesome",2025-03-11T09:33:22.000Z,pain_language,requires_verification
But I've made about every mistake you could,"Co-manufacturer selection, scale-up, process control, and IP",Jack Schrupp,False,"#186 - Bootstrap Heroes: Bumpin Blends, Lentiful and Drink Wholesome",2025-03-11T09:33:22.000Z,pain_language,requires_verification
"I've literally just burned it, wasted it","Co-manufacturer selection, scale-up, process control, and IP",Jack Schrupp,False,"#186 - Bootstrap Heroes: Bumpin Blends, Lentiful and Drink Wholesome",2025-03-11T09:33:22.000Z,pain_language,requires_verification
