category,source,date,format,evidence_depth,url,primary_signals
Beauty,Formula Botanica 323 - Packaging as an early product decision,2026-06,podcast notes,substantial,https://formulabotanica.com/podcast-eco-packaging/,formula compatibility; lifecycle; refill; supplier guidance; late-stage risk
Beauty,Formula Botanica 225 - Can cosmetic packaging be sustainable,2024-10,podcast notes,substantial,https://formulabotanica.com/podcast-cosmetic-packaging-sustainable/,PET; PP; HDPE; PCR; refill; testing; manufacturing
Beauty,Formula Botanica 112 - The dirty business of beauty waste,2022,podcast notes,substantial,https://formulabotanica.com/podcast-beauty-packaging-waste/,take-back; recycling infrastructure; consumer education; waste
Beauty,Global Cosmetics News - 2026 forces reshaping cosmetics,2025-11,podcast series,moderate,https://globalcosmeticsnews.podbean.com/,regulation; sourcing; consumer demand; sensorial packaging; M&A
Beauty,Beauty Confidential - Packaging Crisis Part 1,2026,podcast metadata,moderate,https://www.listennotes.com/et/podcasts/beauty/2-packaging-crisis-part-1-OsGZkAiQ6Sb/,mono-material pumps; PCR; airless systems; lightweighting; overseas production
Beauty,BeautyMatter - Beauty packaging trends defining 2026,2026-02-26,editorial,substantial,https://beautymatter.com/articles/the-beauty-packaging-trends-set-to-define-2026,materials; sensory design; regulation; accessibility; connected packaging
Consumer electronics,TRADEOFFS - Consumer electronics buyer to retail launcher,2025-01-07,full transcript,deep,https://tradeoffs.fm/6/transcript,retail launch; buyer requirements; hardware manufacturing; channel execution
Consumer electronics,Logitech - Sustainable packaging revolution,2025-04-01,expert interview,substantial,https://www.logitech.com/blog/2025/04/01/the-face-behind-logitechs-sustainable-packaging-revolution/,retail differentiation; protection; paper systems; coatings; testing
Consumer electronics,Logitech - Replacing mouse clamshells,2025-04-02,case study,substantial,https://www.logitech.com/blog/2025/04/02/breaking-the-mold-how-logitech-is-tackling-single-use-plastic-one-package-at-a-time/,plastic removal; paper conversion; unboxing; global retail rollout
Consumer electronics,Apple Environment - Product packaging,2026,current program page,substantial,https://www.apple.com/environment/index.html,fiber-based packaging; logistics emissions; recyclability; supplier manufacturing
Consumer electronics,Product Startup 230 - Packaging advice for hardware inventions,2024-06-14,podcast notes,substantial,https://www.makodesign.com/podcast/230-product-packaging-advice-for-your-new-hardware-invention/,hardware packaging; brand growth; design; supply chain; manufacturing
Consumer electronics,Logitech Design for Sustainability,2026,program page,substantial,https://www.logitech.com/en-sg/sustainability/dfs,carbon; circularity; materials; packaging; product redesign
Consumer electronics,Arkay - Consumer electronics packaging,2026-07,technical guide,moderate,https://www.arkay.com/resources/consumer-electronics-packaging,retail shelf; ecommerce; inserts; finishes; unboxing
Consumer electronics,Amazon This is Small Business - Product presentation,2023,podcast transcript,deep,https://www.smallbusiness.amazon/podcast-episodes/ep8,unboxing; packaging design; product presentation; ecommerce
Wine and spirits,Sustainable Wine Roundtable - Packaging perception and path to purchase,2025-06-30,recorded panel,deep,https://swroundtable.org/packaging-perception-and-the-path-to-purchase/,consumer acceptance; retailer stocking; alternative formats; premium cues
Wine and spirits,Sustainable Wine Roundtable - Packaging dilemma,2026-03-20,podcast notes,substantial,https://swroundtable.org/the-packaging-dilemma-how-can-we-make-more-informed-decisions/,choice framework; policy; bottle weight; carbon; consumer perception
Wine and spirits,Sustainable Wine Roundtable - Packaging policy costs and innovation,2026-05-28,webinar summary,substantial,https://swroundtable.org/packaging-policy-costs-and-innovation-opportunities-for-wine-in-the-eu-and-uk/,EPR; DRS; PPWR; compliance cost; alternative formats
Wine and spirits,Sustainable Wine Roundtable - Carbon footprint of packaging,2021-06-30,conference recording,substantial,https://swroundtable.org/the-carbon-footprint-of-packaging-and-what-should-be-done-about-it/,glass manufacture; transport; retailers; bottle weight
Wine and spirits,Sustainable Wine Roundtable - Vinmonopolet supply-chain transformation,2026-06-22,interview,substantial,https://swroundtable.org/news/sustainability-at-scale-how-vinmonopolet-is-transforming-packaging-in-its-supply-chain/,retailer mandates; lightweighting; supplier coordination; emissions
Wine and spirits,Beyond Packaging - Wine and spirits innovation,2025-09-09,podcast notes,substantial,https://podcasts.apple.com/us/podcast/raising-a-glass-to-packaging-innovation-in-wine-spirits/id1615455357?i=1000725774056,lightweight materials; design; storytelling; loyalty; transparency
Wine and spirits,WSWA - Labeled for Success,2021,recorded panel,substantial,https://www.wswa.org/Labeled_For_Success,label design; shelf differentiation; portfolio decisions; growth investment
Wine and spirits,GuildSomm - Package design and branding,2021,podcast notes,moderate,https://www.guildsomm.com/public_content/features/podcasts/b/guild_podcasts/posts/career-series-package-design-branding,label production; shelf presence; packaging innovation
Packaging podcasts,UnPACKed with PMMI,ongoing,podcast series,substantial,https://www.pmmi.org/podcasts,automation; packaging lines; OEM requirements; materials; regulation
Packaging podcasts,Beyond Packaging with Specright,ongoing,podcast series,substantial,https://podcasts.apple.com/us/podcast/beyond-packaging-with-laura-foti-matthew-wright/id1615455357,specifications; transitions; data; sustainability; innovation
Packaging podcasts,Sustainable Design Lab,ongoing,podcast series,moderate,https://podcasts.apple.com/us/podcast/sustainable-design-lab/id1805605532,materials; LCA; circularity; environmental claims
Packaging podcasts,Sustainable Packaging Show,ongoing,podcast series,moderate,https://podcasts.apple.com/us/podcast/sustainable-packaging-show-podcast/id1532969557,EPR; labeling; compostability; PPWR; recycling infrastructure
Packaging podcasts,OEM Magazine unPACKed - Testing sustainable packaging,2025-05-30,podcast article,substantial,https://www.oemmagazine.org/home/podcast/22942412/sustainable-packaging-innovating-for-consumer-demands,barrier testing; compostable materials; performance; consumer demand
Cross-category,Seed Money - Packaging that wins investors,2024-12,podcast notes,substantial,https://podcasts.apple.com/us/podcast/shelf-appeal-how-to-nail-packaging-that-wins-investors/id1740815877?i=1000679867782,investor readiness; sustainable cost; limited editions; packaging strategy
