arm,rank,target_icp,buying_trigger,core_thesis,key_elements,proof_to_include,objections_to_address,soft_cta
Pac,1,"Brand directors, marketing leaders, founders, and packaging leads in beauty, wellness, luxury, and premium products","Retail launch, rebrand, weak shelf recognition, or inability to justify premium price","Retail packaging must communicate category, benefit, brand, and price point in seconds while surviving operational constraints.","Shelf audit; category codes; hierarchy/claims; size/silhouette; color/finish; primary-secondary relationship; retailer requirements; accessibility; transit integrity; testing; iteration","Daybird and Doosra quotes; shelf audit; verified retailer evidence; before/after mockups","Great design stands out alone; DTC transfers to retail; more claims improve conversion; premium means more material","Audit the pack at shelf distance before approving the next print run."
Pac,2,"Beauty founders and product-development, brand, or packaging leaders","Formula, dispensing, components, artwork, and timing move separately","Beauty packaging succeeds when compatibility, experience, design, suppliers, and production develop together from the start.","Product brief; formula/dosage; primary pack/dispensing; compatibility/stability; decoration; secondary structure; claims/artwork; samples/color standards; MOQ/lead time; filling-line fit; testing; change control","Junk Theory and FROST quotes; Dossier standardization; compatibility examples; development timeline","Packaging comes after formula; stock components eliminate testing; every SKU needs a custom pack","Bring packaging into the critical path before formula and launch dates are locked."
Pac,3,"Founders and sustainability, brand, innovation, or packaging leaders","Sustainability goals, retailer mandates, EPR pressure, or consumer scrutiny","Credible sustainability is a documented tradeoff across reduction, reuse, material, manufacturing, transport, recovery, and claims.","Waste hierarchy; baseline; lifecycle boundaries; lightweighting; recycled content; mono-materials; refill/reuse feasibility; recovery; certifications; substantiation; EPR/PPWR; testing","Formula Botanica and PMMI evidence; ecoSPIRITS example; material comparison; claims checklist","Recyclable means sustainable; refill is always better; glass is greener; sustainability destroys luxury","Choose the sustainability outcome first, then design the package and claim around it."
Pac,4,"Founders and brand, packaging, procurement, or product-development leaders","Concept fails quoting, MOQ exceeds demand, lead time threatens launch, or line incompatibility appears late","Design must be engineered for the actual supplier, process, equipment, volume, labor, and landed-cost target.","Volume/forecast; target cost; process; dielines/tolerances; materials/finishes; tooling; capability; MOQ; sampling; line compatibility; QC; lead time; freight; scale path; change control","Greg Berguig and Matt Craighead quotes; MOQ scenarios; sample-to-production gates; landed-cost example","Any printer can make it; prototypes prove manufacturability; lower MOQ is always better","Pressure-test the concept against volume, equipment, and target landed cost before final art."
Pac,5,"Brand marketing, PR, influencer, experiential, and agency leads across aligned categories","Product launch, seeding, press moment, collaboration, or holiday activation","A high-performing kit is a designed content experience serving one campaign objective through reveal, messaging, protection, kitting, and production.","Audience/action; filming context; opening sequence; hierarchy/story; fit/protection; inserts; personalization; privacy; assembly/fulfillment; quantity tiers; timeline; measurement","Logic Pac low-MOQ capability; verified unboxing evidence; campaign brief; measured-outcome evidence marked as a gap","Bigger boxes earn more posts; every recipient needs the same kit; ROI cannot be measured","Define the moment you want creators to film before designing the structure."
Pac,6,"Founders and creative, brand, packaging, or ecommerce leaders in luxury categories","Premium repositioning, gifting, retail expansion, or packaging that does not match price","Luxury comes from coherence, restraint, tactility, structure, pacing, sound, and service—not simply heavier materials.","Price context; brand codes; sensory hierarchy; materials/finishes; reveal; protection; gifting; shipper; theft/returns; accessibility; repeat-order path; sustainability; consistency","Evelio Mattos quote; fragrance/jewelry sources; teardown; first-order versus replenishment economics","Luxury requires weight; sustainability weakens premium; more layers create value","Identify the three details that must carry the premium impression and remove the rest."
Pac,7,"Sustainability, innovation, packaging, operations, and brand leaders in beauty and spirits","Refill/reuse commitment, packaging fees, retailer program, or single-use reduction goal","Refill only works when protection, behavior, return logistics, cleaning, tracking, economics, and communication form a system.","Use case/geography; architecture; reuse threshold; compatibility/hygiene; behavior; collection; cleaning; reverse logistics; retailer role; tracking; cost/use; loss; claims","ecoSPIRITS and beauty-refill evidence; system map; break-even scenario; regional limitations","Consumers will return it; refill automatically lowers impact; one model works everywhere","Model the complete return loop before engineering the refill component."
Pac,8,"Founders and brand, regulatory, packaging, and ecommerce leaders","New efficacy/sustainability claim, retailer onboarding, EPR change, or redesign","Claims need evidence, hierarchy, market rules, retailer standards, and end-of-life reality before artwork approval.","Claim inventory; substantiation owner; regulatory versus marketing language; retailer standards; recyclability/disposal; certifications; symbols; hierarchy; variants; approval; change log","Daybird quote; greenwashing/EPR sources; claims matrix; retailer checklist","Small brands are not scrutinized; supplier certificates suffice; recyclable claims are universal","Create the claim-evidence matrix before the design review."
Pac,9,"Founders and product marketing, industrial design, packaging engineering, and retail leaders in headphones, wearables, health tech, and babytech","Retail launch, high returns, plastic-reduction goal, confusing setup, or premium repositioning","Hardware packaging must protect, teach setup, satisfy retail security, reduce returns, and feel premium without avoidable cube or plastic.","Device/accessory architecture; protection tests; opening/setup; cable organization; safety cues; anti-theft/display; ecommerce versus retail; cube; paper retention; accessibility; returns feedback; revisions","Retailbound/hardware evidence; authorized Audio Enhancement metric; damage/setup scenario; teardown","Industrial design owns experience; more foam is safer; QR codes replace instructions; one pack fits all channels","Design the first five minutes of ownership alongside the protective structure."
Pac,10,"Founders and brand, sustainability, packaging, or operations leaders at premium wine and spirits brands","Glass cost/weight, new format, DTC growth, retailer mandate, reuse initiative, or premium repositioning","A format transition must preserve premium cues while proving protection, production fit, channel acceptance, understanding, and logistics economics.","Baseline; bottle weight/cube; alternatives; closures/barrier; labels/decoration; filling-line fit; case/pallet; DTC protection; channel objections; education; EPR/DRS/PPWR; pilot","Packamama and ecoSPIRITS quotes; Juliet evidence; freight comparison; premium-cue audit","Glass is required for premium; distributors resist change; weight signals quality","Pilot one channel and prove economics and perception before a full portfolio change."
